Method,Question_ID,Question,Ground_Truth,Prediction,Exact_Match,Token_F1,ROUGE_L,Answer_Correctness,Faithfulness,Context_Precision,Context_Recall
BM25,q1,What term did Lewis et al. 2020 introduce that combines a pre-trained retriever with a pre-trained seq2seq model?,Retrieval-Augmented Generation (RAG),Retrieval-Augmented Generation (RAG).,1.000,1.0000,1.0000,0.9985,1.0000,0.8875,1.0000
BM25,q2,"According to Table 1 in the RAG survey, what specific latency characteristic is listed for RAG compared to fine-tuning?","Involves data retrieval, potentially leading to higher latency.","RAG involves data retrieval, potentially leading to higher latency, while LLM after fine-tuning can respond without retrieval, resulting in lower latency.",0.000,0.5517,0.5333,0.7173,1.0000,1.0000,1.0000
BM25,q3,"What are the three core metrics focused on by evaluation frameworks like RAGAS and ARES for RAG, as listed in Section 7.2 of the RAG survey?","Faithfulness of the answer, Answer Relevance, and Context Relevance.","The three core metrics focused on by evaluation frameworks like RAGAS and ARES for RAG are Faithfulness of the answer, Answer Relevance, and Context Relevance.",0.000,0.5294,0.5294,0.9776,1.0000,1.0000,1.0000
BM25,q4,"In the RAG survey Section 7.2, what four basic abilities does the RGB benchmark evaluate for RAG?","Noise Robustness, Negative Rejection, Information Integration, and Counterfactual Robustness.","The four basic abilities that the RGB benchmark evaluates for RAG are Noise Robustness, Negative Rejection, Information Integration, and Counterfactual Robustness.",0.000,0.6000,0.6000,0.9733,1.0000,1.0000,1.0000
BM25,q5,"According to Section 2.1 of the RAG survey, what are the two key stages of the RAG system?","1. Utilizing encoding models to retrieve relevant documents based on questions. 2. Generation Phase: Using the retrieved context as a condition, the system generates text.","The two key stages of the RAG system are: 1) retrieving relevant information from a vast corpus of documents, and 2) utilizing this retrieved information to generate responses or text.",0.000,0.4364,0.2909,0.9714,1.0000,0.8333,1.0000
BM25,q6,"In Figure 2 of the RAG survey, at what levels of external knowledge required and model adaptation required is Modular RAG positioned?",Modular RAG: Organic combination of multiple modules,Modular RAG is positioned at a high level of external knowledge required and a high level of model adaptation required.,0.000,0.2222,0.2222,0.2188,1.0000,1.0000,1.0000
BM25,q7,"According to Table 1 in the TCN paper, what accuracy does TCN achieve on Sequential MNIST, and what are the corresponding accuracies for LSTM and GRU?","TCN: 99.0, LSTM: 87.2, GRU: 96.2","TCN achieves an accuracy of 99.0% on Sequential MNIST. The corresponding accuracies for LSTM and GRU are 87.2% and 21.5%, respectively.",0.000,0.3704,0.3636,0.7307,1.0000,0.7000,1.0000
BM25,q8,"In Table 1 of the TCN paper, what is the word-level PTB perplexity of TCN compared to LSTM?","TCN: 88.68, LSTM: 78.93","The word-level PTB perplexity of TCN is 88.68, while for LSTM it is 78.93.",0.000,0.4444,0.5217,0.9816,1.0000,0.8875,1.0000
BM25,q9,"According to Section 5.4 of the TCN paper, below what sequence length T does the LSTM fall below 20% accuracy on the copy memory task?",The accuracy of the LSTM falls below 20% for T < 50.,The LSTM falls below 20% accuracy for T < 50.,0.000,0.9000,0.8000,0.9963,1.0000,0.7000,1.0000
BM25,q10,What two disadvantages of TCNs does Section 3.5 of the TCN paper explicitly list?,1. Data storage during evaluation. 2. Potential parameter change for a transfer of domain.,Not found in context.,0.000,0.0000,0.0000,0.1839,0.0000,0.0000,0.0000
BM25,q11,"In Table 4 of the TCN paper (SoTA results), what is the SoTA model for the Copy Memory T=1000 task, what loss does it achieve, and what loss does the TCN achieve on the same task?","SoTA model: EURNN (Jing et al., 2017), SoTA loss: 0.011, TCN loss: 3.5e-5","The SoTA model for the Copy Memory T=1000 task is EURNN, which achieves a loss of 0.011. The TCN achieves a loss of 3.5e-5 on the same task.",0.000,0.3902,0.4583,0.9833,0.3333,0.8875,1.0000
BM25,q12,"In the TCN paper, what is the dilated convolution operation F on element s formally defined as in Equation 2?",F(s) = (x *d f)(s) = sum_{i=0}^{k-1} f(i) · x_{s-d·i},"The dilated convolution operation F on element s of the sequence is formally defined as:

F(s) = (x * a_f)(s) = D0 f(@ » Xs - d·i) 

where d is the dilation factor, k is the filter size, and s - d·i accounts for the direction of the past.",0.000,0.1154,0.3077,0.7620,1.0000,0.7500,1.0000
BM25,q13,"According to the abstract of the BLIP-2 paper, by how much does BLIP-2 outperform Flamingo80B on zero-shot VQAv2, and how many times fewer trainable parameters does it use?",BLIP-2 outperforms Flamingo80B by 8.7% on zero-shot VQAv2 with 54x fewer trainable parameters.,BLIP-2 outperforms Flamingo80B by 8.7% on zero-shot VQAv2 while using 54 times fewer trainable parameters.,0.000,0.7857,0.8235,0.9989,1.0000,1.0000,1.0000
BM25,q14,"In Table 1 of the BLIP-2 paper, what is the number of trainable parameters for BLIP-2 and what zero-shot VQAv2 accuracy does it achieve?","188M trainable parameters, 65.0 VQAv2 accuracy.",BLIP-2 has 1.2B trainable parameters and achieves a zero-shot VQAv2 accuracy of 81.55.,0.000,0.4211,0.3333,0.2240,1.0000,0.0000,0.0000
BM25,q15,"What are the three pre-training objectives jointly optimized in BLIP-2's first stage representation learning, as described in Section 3.2?","Image-Text Contrastive Learning (ITC), Image-grounded Text Generation (ITG), and Image-Text Matching (ITM).","The three pre-training objectives jointly optimized in BLIP-2's first stage representation learning are Image-Text Contrastive Learning (ITC), Image-Text Matching (ITM), and Image-grounded Text Generation (ITG) loss.",0.000,0.6316,0.4255,0.9811,0.0000,1.0000,1.0000
BM25,q16,"According to Section 3.1 of the BLIP-2 paper, how many queries are used in Q-Former and what is the dimension of each query?","32 queries, each with a dimension of 768.","According to Section 3.1 of the BLIP-2 paper, 32 queries are used in Q-Former, and the dimension of each query is 768.",0.000,0.4000,0.3030,0.9744,1.0000,1.0000,1.0000
BM25,q17,"According to Table 6 of the BLIP-2 paper, what is the image-to-text retrieval R@1 score on COCO with ITC+ITM alone versus ITC+ITM+ITG, and what does the difference demonstrate?","ITC+ITM: 84.5, ITC+ITM+ITG: 85.4. The ITG loss improves retrieval by enforcing queries to extract language-relevant visual features.","The image-to-text retrieval R@1 score on COCO with ITC+ITM alone is 84.5, while with ITC+ITM+ITG it is 85.4. The difference demonstrates that the ITG (image-grounded text generation) loss improves image-text retrieval performance by enforcing the queries to extract language-relevant visual features.",0.000,0.5862,0.6133,0.9821,1.0000,1.0000,1.0000
BM25,q18,"According to Section 3.4 of the BLIP-2 paper, what pre-training dataset is used and how many images does it contain in total?",The same pre-training dataset as BLIP with 129M images in total.,The pre-training dataset used in the BLIP-2 paper contains 129 million images in total.,0.000,0.4800,0.5714,0.8400,1.0000,0.2500,1.0000
BM25,q19,"In Table 2 of the DPR paper, what is the Top-20 retrieval accuracy of DPR (Single) versus BM25 on Natural Questions?","DPR (Single): 78.4, BM25: 59.1","The Top-20 retrieval accuracy of DPR (Single) on Natural Questions is 78.4%, while for BM25 it is 59.1%.",0.000,0.4348,0.5000,0.9689,1.0000,0.8056,1.0000
BM25,q20,"According to Table 3 of the DPR paper, what happens to Top-20 retrieval accuracy on Natural Questions as the number of gold in-batch negatives grows from 7 to 31 to 127?",Top-20 accuracy increases from 69.1 to 70.8 to 73.0.,Not found in context.,0.000,0.0000,0.0000,0.1792,0.0000,1.0000,0.0000
BM25,q21,"According to Section 5.4 of the DPR paper, how many questions per second can DPR process at inference time, and how does this compare to BM25/Lucene?","DPR processes 995.0 questions per second, compared to BM25/Lucene which processes 23.7 questions per second per CPU thread.","DPR can process 995.0 questions per second at inference time, while BM25/Lucene processes 23.7 questions per second per CPU thread.",0.000,0.7368,0.8182,0.8463,1.0000,0.8875,1.0000
